,precision,recall,f1-score,support
0,0.9954128440366973,1.0,0.9977011494252873,217.0
1,1.0,1.0,1.0,141.0
2,0.2867383512544803,0.4444444444444444,0.3485838779956427,180.0
3,0.24285714285714285,0.24285714285714285,0.24285714285714285,140.0
4,0.15315315315315314,0.14166666666666666,0.1471861471861472,120.0
5,0.10526315789473684,0.05,0.06779661016949153,80.0
6,0.09090909090909091,0.016666666666666666,0.028169014084507043,60.0
accuracy,0.5266524520255863,0.5266524520255863,0.5266524520255863,0.5266524520255863
macro avg,0.41061910572932875,0.4136621315192744,0.4046134202454598,938.0
weighted avg,0.506259559537604,0.5266524520255863,0.5106849198139344,938.0
