Constituency name,2024 Winner,2024 Runner-up,2024 Electorate,2024 Valid Votes,2024 Majority,2024 Result Type,2019 Winner,2019 Runner-up,2019 Electorate,2019 Valid Votes,2019 Majority,2019 Result Type,Total Population,Total Households,Female,Male,Christian,Muslim,No Religion,No Qualifications,Level 4+,White,Black,Asian,Mixed,Other,Social Rent,Private Rent,Own Outright,Detached,Flat,Employed,Unemployed,Long-term Sick,Full-time Students,Born Outside UK,Recent Migrants,Veterans,Disabled,Deprived (2+ Dimensions),2019 Vote Share,2024 Vote Share,2019 Turnout Rate,2024 Turnout Rate,Vote Share Swing,% Female,% Male,% Christian,% Muslim,% No Religion,% No Qualifications,% Level 4+,% White,% Black,% Asian,% Mixed,% Other,% Social Rent,% Private Rent,% Own Outright,% Detached,% Flat,% Employed,% Unemployed,% Long-term Sick,% Full-time Students,% Born Outside UK,% Recent Migrants,% Veterans,% Disabled,% Deprived (2+ Dimensions),Incumbent Retained,Safe Seat 2019,Safe Seat 2024,Non-White,% Non-White,Minority Ethnic,% Minority Ethnic,UK Born,% UK Born,Other Religions,% Other Religions,All Renters,% All Renters,% Highly Educated,Economically Inactive,% Economically Inactive,% Owner Occupier,% Deprived Households
Aldershot,Lab,Con,78553.0,48262.0,5683.0,Lab gain from Con,Con,Lab,72617.0,47932.0,16698.0,Con hold,99408.0,39964.0,267996.0,91896.0,76597.0,810.0,967.0,31016.0,4861.0,165156.0,7485.0,10631.0,9760.0,4616.0,942.0,12735.0,47389.0,27589.0,8129.0,90755.0,87626.0,1592.0,28527.0,11638.0,678.0,5494.0,29375.0,15163.0,0.22994615585882094,0.07234605934846537,0.6600658248068634,0.6143877382149632,-0.15760009651035556,2.695919845485273,0.9244326412361178,0.7705315467568002,0.008148237566393046,0.009727587316916144,0.312007081924996,0.048899484950909386,1.661395461129889,0.07529575084500241,0.10694310317077096,0.09818123289876066,0.046434894575889264,0.00947609850313858,0.1281084017382907,0.47671213584419764,0.27753299533236764,0.08177410268791244,0.9129546917753099,0.88147835184291,0.016014807661355223,0.2869688556253018,0.11707307258973121,0.006820376629647513,0.055267181715757285,0.2954993561886367,0.1525329953323676,0,1,1,32492.0,0.3268549814904233,-65748.0,-0.6613954611298889,87770.0,0.8829269274102688,21034.0,0.21159262835989054,13677.0,0.13758450024142926,0.048899484950909386,147120.0,1.4799613713182038,0.47671213584419764,0.3794164748273446
Aldridge-Brownhills,Con,Lab,70268.0,40912.0,4294.0,Con hold,Con,Lab,60138.0,39342.0,19836.0,Con hold,284124.0,112226.0,209667.0,71509.0,62054.0,598.0,866.0,24990.0,3632.0,130719.0,4595.0,7412.0,6840.0,3416.0,282.0,7396.0,38162.0,12622.0,10978.0,61572.0,57900.0,1320.0,23442.0,41958.0,1400.0,4600.0,32135.0,60501.0,0.3298413648608201,0.061108897364376386,0.6541953506934052,0.5822280412136392,-0.26873246749644375,0.73794188452929,0.25168236403823685,0.2184046402275063,0.002104714842815109,0.0030479649730399405,0.08795455505342738,0.012783151018569357,0.4600772901972378,0.016172516225310078,0.026087201362785264,0.024073995860962115,0.012022919570328448,0.0009925243907589643,0.026030887922174825,0.1343145950359702,0.04442426546155904,0.03863805943883657,0.21670819782911688,0.2037842632090214,0.00464585885036111,0.08250622967436753,0.14767495882079656,0.0049274260534132985,0.016190114175500838,0.11310202587602596,0.2129387168982557,1,1,0,22263.0,0.0783566330193859,153405.0,0.5399227098027621,242166.0,0.8523250411792035,220606.0,0.7764426799566386,7678.0,0.02702341231293379,0.012783151018569357,114797.0,0.404038377609776,0.1343145950359702,0.5390996738723647
Altrincham And Sale West,Lab,Con,74025.0,50809.0,4174.0,Lab gain from Con,Con,Lab,73107.0,54763.0,6139.0,Con hold,235052.0,96269.0,570523.875,195528.375,131095.375,1290.0,2198.0,58509.625,8793.375,254565.375,5300.0,17630.0,9898.0,4146.0,692.0,27771.25,78582.625,38454.5,9623.0,181106.75,169888.25,3276.375,88920.0,34936.0,2129.0,8495.875,61949.125,41365.0,0.08397280698154759,0.056386355960824044,0.7490801154472212,0.6863762242485647,-0.027586451020723546,2.4272240823307185,0.831851569014516,0.5577292471453126,0.005488147303575379,0.009351122304851692,0.24892204703640045,0.03741033898881949,1.0830172685193065,0.02254820209996086,0.07500467981553018,0.04210983101611558,0.017638650171025987,0.0029440294062590406,0.11814938822047888,0.33432017170668615,0.16359996936848017,0.040939877133570446,0.7704965284277522,0.7227687915865425,0.013938936916086653,0.3782992699487773,0.14863094123853446,0.00905757023977673,0.03614466160679339,0.2635549793237241,0.17598233582356246,0,1,0,36974.0,0.1573013631026326,-19513.375,-0.08301726851930637,200116.0,0.8513690587614655,100468.625,0.4274314832462604,28463.25,0.1210934176267379,0.03741033898881949,324033.75,1.3785619777751306,0.33432017170668615,0.4296814135391455
Alyn And Deeside,Lab,RUK,75790.0,41817.0,8794.0,Lab hold,Lab,Con,62789.0,43008.0,213.0,Lab hold,154962.0,66911.0,230859.0,79065.0,62995.0,397.0,476.0,23373.0,3685.0,151232.0,1155.0,3416.0,2892.0,1070.0,307.0,9714.0,48019.0,25985.0,3488.0,75111.0,72141.0,1361.0,26331.0,10010.0,481.0,5249.0,29542.0,31921.0,0.0033923139403398686,0.11603113867264811,0.6849607415311599,0.5517482517482517,0.11263882473230824,1.4897781391566964,0.5102218608433036,0.4065190175655967,0.002561918405802713,0.0030717208089725222,0.15083052619351842,0.023780023489629716,0.9759295827364128,0.00745344019824215,0.02204411404086163,0.018662639873001124,0.006904918625211342,0.0019811308578877402,0.06268633600495606,0.30987596959254526,0.1676862714730063,0.022508744079193607,0.48470592790490574,0.46553993882371164,0.008782798363469754,0.1699190769349905,0.06459648171809863,0.0031039867838566874,0.033872820433396574,0.19064028600560137,0.20599243685548715,1,0,1,8533.0,0.05506511273731624,3730.0,0.0240704172635872,144952.0,0.9354035182819014,91094.0,0.5878473432196281,10021.0,0.06466746686284379,0.023780023489629716,129375.0,0.8348821001277733,0.30987596959254526,0.4770665510902542
Amber Valley,Lab,RUK,71546.0,42531.0,3554.0,Lab gain from Con,Con,Lab,69976.0,45567.0,16886.0,Con hold,126206.0,56277.0,226550.0,75098.0,63176.0,499.0,810.0,19207.0,3484.0,146847.0,1306.0,3542.0,3440.0,898.0,947.0,6898.0,48195.0,25712.0,6069.0,67569.0,65374.0,1867.0,21957.0,4724.0,330.0,6969.0,29413.0,26757.0,0.24131130673373727,0.049674335392614545,0.6511804047101863,0.5944567131635591,-0.19163697134112273,1.7950810579528707,0.5950430248958053,0.5005784194095367,0.0039538532240939415,0.006418078379791769,0.15218769313661792,0.027605660586659905,1.1635500689349159,0.010348160943219815,0.028065226692867217,0.027257024230226773,0.0071153510926580356,0.007503605216867661,0.05465667242444892,0.38187566359761027,0.20373040901383452,0.04808804652710648,0.535386590177963,0.5179943901240829,0.014793274487742262,0.17397746541368872,0.037430866995230024,0.0026147726732484986,0.05521924472687511,0.2330554807219942,0.21201052247912144,0,1,0,9186.0,0.07278576295897184,-20641.0,-0.16355006893491594,121482.0,0.96256913300477,61721.0,0.4890496489865775,7845.0,0.062160277641316576,0.027605660586659905,118611.0,0.939820610747508,0.38187566359761027,0.4754517831440908
Arundel And South Downs,Con,LD,77969.0,54556.0,12134.0,Con hold,Con,LD,81726.0,61408.0,22521.0,Con hold,164889.0,72661.0,570523.875,195528.375,131095.375,1977.625,2303.0,58509.625,8793.375,254565.375,25953.375,68808.0,23688.5,14531.75,1775.0,27771.25,78582.625,38454.5,27148.125,181106.75,169888.25,3276.375,88920.0,17672.0,801.0,8495.875,61949.125,37025.0,0.2755671389765803,0.15562595390475703,0.7513887869221545,0.6997139888930216,-0.11994118507182328,3.460048123282936,1.1858181867801976,0.7950522775928048,0.01199367453256433,0.01396697172036946,0.354842500106132,0.053329057729745465,1.5438590506340628,0.15739906846423957,0.41729891017593657,0.1436633128953417,0.08813049991206205,0.010764817543923487,0.1684239094178508,0.4765789409845411,0.23321446548890465,0.16464485199133963,1.0983555604073043,1.0303188811867376,0.019870185397449194,0.5392718738060149,0.10717512993589627,0.004857813438131107,0.05152481366252449,0.3757019873975826,0.2245449969373336,1,1,1,132981.625,0.8064917914475799,-89676.375,-0.5438590506340629,147217.0,0.8928248700641037,29513.0,0.17898707615426135,29546.25,0.1791887269617743,0.053329057729745465,324033.75,1.9651629277877845,0.4765789409845411,0.5095580848047784
Ashfield,RUK,Lab,68929.0,33606.0,5508.0,RUK gain from Con,Con,Ash,78204.0,48980.0,5733.0,Con gain from Lab,126300.0,54508.0,127623.0,43699.0,38497.0,206.0,332.0,13556.0,2080.0,82116.0,1895.0,2863.0,2864.0,592.0,205.0,2871.0,28674.0,11951.0,3315.0,41446.0,39878.0,864.0,13854.0,7213.0,333.0,1919.0,13697.0,28335.0,0.07330827067669173,0.07990831145091326,0.6263106746457981,0.487545155159657,0.006600040774221536,1.0104750593824228,0.34599366587490105,0.304806017418844,0.0016310372129849564,0.0026286619160728426,0.10733174980205859,0.016468725257323832,0.650166270783848,0.015003958828186857,0.02266825019794141,0.022676167854315123,0.004687252573238322,0.0016231195566112431,0.022731591448931117,0.22703087885985748,0.09462391132224861,0.026247030878859857,0.3281551860649248,0.3157403008709422,0.006840855106888361,0.10969121140142518,0.05711005542359462,0.002636579572446556,0.015193982581155977,0.10844813935075218,0.22434679334916866,0,1,1,8214.0,0.06503562945368171,44184.0,0.349833729216152,119087.0,0.9428899445764054,87265.0,0.6909342834520982,3076.0,0.02435471100554236,0.016468725257323832,68293.0,0.5407205067300079,0.22703087885985748,0.5198319512732076
Ashford,Lab,Con,76233.0,45686.0,1779.0,Lab gain from Con,Con,Lab,89553.0,60059.0,24029.0,Con hold,132747.0,53583.0,332402.0,115144.0,64349.0,398.0,675.0,40649.0,5056.0,165485.0,18367.0,68808.0,10568.0,7338.0,342.0,18815.0,54377.0,15155.0,9916.0,97674.0,91986.0,1761.0,46508.0,17806.0,962.0,4409.0,42567.0,25166.0,0.26832155260013624,0.023336350399433315,0.6706531327817047,0.5992942688861779,-0.2449852022007029,2.5040264563417627,0.867394366727685,0.4847491845390103,0.002998184516410917,0.00508486067481751,0.30621407640097326,0.03808748973611456,1.246619509292112,0.13836094224351586,0.5183393975005085,0.07961008535032807,0.05527808538046058,0.002576329408574205,0.14173578310620955,0.40962884283637296,0.11416453855831017,0.07469848659480063,0.7357906393364821,0.6929422133833533,0.01326583651607946,0.35035066705838924,0.1341348580382231,0.007246868102480659,0.03321355661521541,0.32066261384438066,0.18957867221104807,0,1,0,105081.0,0.791588510474813,-32738.0,-0.24661950929211207,114941.0,0.8658651419617769,67325.0,0.5071677702697612,19157.0,0.14431211251478376,0.03808748973611456,182822.0,1.3772213308022028,0.40962884283637296,0.46966388593397157
Ashton-Under-Lyne,Lab,RUK,71002.0,32626.0,6791.0,Lab hold,Lab,Con,67978.0,38579.0,4263.0,Lab hold,231071.0,99527.0,210734.0,70184.0,61721.0,499.0,1111.0,22064.0,3513.0,136219.0,1660.0,3910.0,3440.0,758.0,509.0,7057.0,43820.0,22024.0,8572.0,59979.0,56824.0,1282.0,20119.0,23869.0,999.0,5681.0,32755.0,51094.0,0.06271146547412398,0.09564519309315231,0.5675218453028921,0.4595081828680882,0.032933727619028325,0.911988090240662,0.303733484513418,0.2671083779444413,0.0021595094148551745,0.004808046011831861,0.09548580306485885,0.01520311938754755,0.5895114488620381,0.0071839391355903595,0.016921206036239943,0.014887199172548698,0.0032803770269743933,0.0022027861566358393,0.030540396674615163,0.18963868248287322,0.0953126960977362,0.03709682305438588,0.2595695695262495,0.24591575749444977,0.005548078296281229,0.08706847678851955,0.10329725495626885,0.004323346503888415,0.02458551700559568,0.14175296770256762,0.2211181844541288,1,0,1,9768.0,0.04227272137135339,94852.0,0.4104885511379619,207202.0,0.8967027450437312,167740.0,0.7259240666288717,7566.0,0.032743182831251,0.01520311938754755,110980.0,0.48028528028181816,0.18963868248287322,0.5133682317361118
Aylesbury,Lab,Con,79169.0,49308.0,630.0,Lab gain from Con,Con,Lab,86665.0,60576.0,17373.0,Con hold,553078.0,220328.0,148518.0,49846.0,37139.0,284.0,392.0,12725.0,2081.0,92309.0,2695.0,7101.0,4828.0,1070.0,458.0,4417.0,31994.0,15711.0,3642.0,48081.0,46354.0,1236.0,17145.0,92048.0,3836.0,2309.0,16437.0,89946.0,0.2004615473374488,0.007957660195278455,0.6989672878324583,0.6228195379504604,-0.19250388714217034,0.26852993610304515,0.09012472020221379,0.06714966062653008,0.0005134899598248348,0.0007087607896173777,0.023007604713982475,0.003762579599984089,0.1669005095122207,0.004872730428619471,0.01283905705885969,0.008729329317022192,0.0019346276655372299,0.0008280929633794872,0.007986215325867237,0.05784717526280199,0.028406481545098523,0.006584966315781861,0.08693348858569677,0.08381096337225491,0.0022347661631813235,0.030999244229566174,0.16642860500688872,0.00693573058411291,0.0041748180184350125,0.029719135456481725,0.16262805607888942,0,1,0,15694.0,0.028375744470038586,460769.0,0.8330994904877793,461030.0,0.8335713949931113,515263.0,0.9316280886240277,4875.0,0.008814308289246725,0.003762579599984089,81172.0,0.14676410922148414,0.05784717526280199,0.40823681057332706
