,precision,recall,f1-score,support
lab,1.0,1.0,1.0,216.0
reform,0.9953917050691244,1.0,0.9976905311778291,216.0
con,0.3807829181494662,0.49537037037037035,0.4305835010060362,216.0
ld,0.5671641791044776,0.5253456221198156,0.5454545454545454,217.0
green,0.6041666666666666,0.5345622119815668,0.5672371638141809,217.0
snp,0.7333333333333333,0.6620370370370371,0.6958637469586375,216.0
other,0.8262910798122066,0.8110599078341014,0.8186046511627907,217.0
accuracy,0.7181518151815182,0.7181518151815182,0.7181518151815182,0.7181518151815182
macro avg,0.729589983162182,0.7183393070489845,0.7222048770820029,1515.0
weighted avg,0.7294638128493748,0.7181518151815182,0.7220495514907062,1515.0
