age_bracket,education_level,household_income,socioeconomic_class,housing_status,constituency_leaning,vote_national,vote_local,satisfaction_national_government,importance_economy,importance_social_issues,support_welfare_spending,tax_on_wealthy,trust_mainstream_media,concern_political_corruption,climate_priority,immigration_policy_stance,trust_public_institutions,2028__winner,is_fiscally_conservative,is_climate_priority,is_media_skeptic,is_snp_region,is_reform_minded,is_social_justice_focused,education_score,income_score,media_trust_score,gov_satisfaction_score
35–44,No qualification,"£20,000–£40,000",Working class,Homeowner,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,0.0,1.0,2,1
35–44,Bachelors degree,"under £20,000",Working class,Renter,Labour,Yes,No,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,3.0,0.0,2,1
18–24,No qualification,"under £20,000",Middle class,Homeowner,SNP,Yes,No,Satisfied,Very Important,Very Important,No,No,Very Low,Somewhat concerned,Yes,More open,Low,green,1,1,1,0,0,0,0.0,0.0,0,3
18–24,GCSE or equivalent,"£20,000–£40,000",Upper middle class,Living with family,SNP,No,Yes,Satisfied,Very Important,Very Important,Yes,Yes,Very High,Not concerned,Yes,Unbothered,High,con,0,1,0,0,0,0,1.0,1.0,4,3
18–24,No qualification,"under £20,000",Lower middle class,Homeowner,Liberal democrat,No,Yes,Neutral,Important,Very Important,No,Yes,Very Low,Somewhat concerned,No,Very restrictive,Very High,ld,0,0,1,0,0,0,0.0,0.0,0,2
35–44,GCSE or equivalent,"under £20,000",Working class,Living with family,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,1.0,0.0,2,1
18–24,GCSE or equivalent,"£60,000-£80,000",Working class,Council housing,Labour,Yes,Yes,Dissatisfied,Very Important,Very Important,Yes,Yes,medium,Very concerned,Yes,More open,medium,lab,0,1,0,0,0,0,1.0,3.0,2,1
25–34,GCSE or equivalent,"£60,000-£80,000",Lower middle class,Council housing,Other,No,Yes,Dissatisfied,Very Important,Not Important,No,No,Very High,Very concerned,No,Very restrictive,Very High,con,1,0,0,0,0,0,1.0,3.0,4,1
45–54,PHD or higher,"£60,000-£80,000",Working class,Renter,Reform,No,No,Very Dissatisfied,Somewhat Important,Important,Yes,No,Very Low,Very concerned,No,Very restrictive,High,con,0,0,1,0,0,0,5.0,3.0,0,0
45–54,A-level or equivalent,"£60,000-£80,000",Middle class,Homeowner,Reform,No,Yes,Very Dissatisfied,Somewhat Important,Somewhat Important,Yes,No,Very Low,Somewhat concerned,Yes,Restrictive,medium,green,0,1,1,0,0,0,2.0,3.0,0,0
